﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4u7EnebtmKWzUH433cf5Qv","Bohemian Rhapsody - 2011 Mix","Queen","A Night At The Opera (2011 Remaster)","1","11","354320","spotify:user:12169871666","2020-02-17T19:10:59Z"
"spotify:track:2D4BSm5Z8Hq5zYbSgJwEOh","She Used To Be Mine","Sara Bareilles","What's Inside: Songs from Waitress","1","10","250266","spotify:user:12169871666","2020-02-17T19:11:22Z"
"spotify:track:1CGQTaQVVfA0CNae8IwPyC","Bad as the Boys (feat. ALMA)","Tove Lo, ALMA","Sunshine Kitty","1","3","186555","spotify:user:12169871666","2020-02-17T19:11:51Z"
"spotify:track:1SFDYObi6lB3MpiIkWTXla","Opium","The New Division","Shadows","1","1","320022","spotify:user:12169871666","2020-02-17T19:12:18Z"
"spotify:track:2k6oLQC0nAw99WL1euDWdG","PAPI","Isabela Merced","PAPI","1","1","150266","spotify:user:12169871666","2020-02-17T19:12:23Z"
"spotify:track:4sOX1nhpKwFWPvoMMExi3q","Primadonna","MARINA","Electra Heart (Deluxe)","1","2","221075","spotify:user:12169871666","2020-02-17T19:12:30Z"
"spotify:track:3Ex5RFJRUdpHcDOLXJOVLy","Raising Hell (feat. Big Freedia)","Kesha, Big Freedia","Raising Hell (feat. Big Freedia)","1","1","169680","spotify:user:12169871666","2020-02-17T19:12:35Z"
"spotify:track:5DSi7heBC8eTIFROBvttnp","Season Of The Witch","Lana Del Rey","Season Of The Witch (From The Motion Picture "Scary Stories To Tell In The Dark")","1","1","247147","spotify:user:12169871666","2020-02-17T19:12:46Z"
"spotify:track:235LXPXfi0SmOaS9TaCh3c","Teenage Dream","Katy Perry","Teenage Dream","1","1","227741","spotify:user:12169871666","2020-02-17T19:13:05Z"
"spotify:track:0C4ejWmOTMv8vuYj85mf8m","S&M","Rihanna","Loud","1","1","243533","spotify:user:12169871666","2020-02-17T19:13:32Z"
"spotify:track:4fbaKWFRghusXd4bSBvvfN","Toxic","Britney Spears","Mother's Day Songs","1","9","198800","spotify:user:12169871666","2020-02-17T19:13:39Z"
"spotify:track:3U3BXlwNTkCx7lW9m1H9RY","Hard out Here","Lily Allen","Hard out Here","1","1","211377","spotify:user:12169871666","2020-02-17T19:13:44Z"
"spotify:track:25sgk305KZfyuqVBQIahim","Sweet but Psycho","Ava Max","Sweet but Psycho","1","1","187436","spotify:user:12169871666","2020-02-17T19:13:51Z"
"spotify:track:1pXrR5Y9OgcIV2JEAl2lCB","I Kissed A Girl","Katy Perry","One Of The Boys","1","2","179640","spotify:user:12169871666","2020-02-17T19:13:57Z"
"spotify:track:6T689Jvh5KrSXyaPtUWZtQ","Criminal","Britney Spears","Femme Fatale (Deluxe Version)","1","12","225080","spotify:user:12169871666","2020-02-17T19:14:02Z"
"spotify:track:00Mb3DuaIH1kjrwOku9CGU","Sk8er Boi","Avril Lavigne","Let Go","1","3","204000","spotify:user:12169871666","2020-02-17T19:14:09Z"
